Row ID,Row Title,design
REQ-087,REQ-087 — Items inside verbatim blocks are not parsed,ARC-017: ARC-017 — Regex-based parsing
REQ-088,REQ-088 — Inline macros inside verbatim blocks are not parsed,ARC-017: ARC-017 — Regex-based parsing
REQ-090,REQ-090 — Verbatim block detection handles standard AsciiDoc fences,ARC-017: ARC-017 — Regex-based parsing
REQ-091,REQ-091 — Inline macros inside verbatim blocks are preserved in rendered output,ARC-017: ARC-017 — Regex-based parsing
REQ-092,REQ-092 — Inline macros inside backtick code spans are not parsed,ARC-017: ARC-017 — Regex-based parsing
REQ-110,REQ-110 — Items defined in partials are processed,ARC-029: ARC-029 — Partial file processing with source-repo links
REQ-128,REQ-128 — Matrix links include module path for module-aware items,
REQ-037,REQ-037 — Matrix displays row items as clickable links,ARC-021: ARC-021 — Path resolution for matrix-to-item links
REQ-038,REQ-038 — Matrix displays cell items as clickable links,ARC-021: ARC-021 — Path resolution for matrix-to-item links
REQ-039,REQ-039 — Links include source file tooltip,ARC-021: ARC-021 — Path resolution for matrix-to-item links
REQ-040,REQ-040 — Link generation is context-aware,ARC-021: ARC-021 — Path resolution for matrix-to-item links
REQ-041,REQ-041 — Source file paths are normalized,ARC-021: ARC-021 — Path resolution for matrix-to-item links
REQ-042,REQ-042 — Backward compatibility without LinkResolver,ARC-021: ARC-021 — Path resolution for matrix-to-item links
REQ-043,REQ-043 — Non-HTML matrix outputs unchanged,ARC-021: ARC-021 — Path resolution for matrix-to-item links
REQ-083,REQ-083 — Preset defines pairwise requirements-to-design matrix,ARC-019: ARC-019 — Config-driven matrix generation with coverage calculations
REQ-084,REQ-084 — Preset defines pairwise design-to-implementation matrix,ARC-019: ARC-019 — Config-driven matrix generation with coverage calculations
REQ-085,REQ-085 — Preset defines pairwise requirements-to-tests matrix,ARC-019: ARC-019 — Config-driven matrix generation with coverage calculations
REQ-086,REQ-086 — Preset does not define wide multi-column matrices,ARC-019: ARC-019 — Config-driven matrix generation with coverage calculations
REQ-044,REQ-044 — traceability:outgoing[] macro renders outgoing links,ARC-024: ARC-024 — traceability:links[] and traceability:incoming[] link rendering
REQ-045,REQ-045 — Opt-in via AsciiDoc attribute,ARC-024: ARC-024 — traceability:links[] and traceability:incoming[] link rendering
REQ-047,REQ-047 — Configurable display style,ARC-024: ARC-024 — traceability:links[] and traceability:incoming[] link rendering
REQ-048,REQ-048 — Configurable sort order,ARC-024: ARC-024 — traceability:links[] and traceability:incoming[] link rendering
REQ-050,REQ-050 — Source file not modified,ARC-015: ARC-015 — In-memory processing with no side effects
REQ-100,REQ-100 — Inline macros suppressed when links macros are active,ARC-024: ARC-024 — traceability:links[] and traceability:incoming[] link rendering
REQ-101,REQ-101 — PDF compatibility,ARC-024: ARC-024 — traceability:links[] and traceability:incoming[] link rendering
REQ-102,REQ-102 — Collapsible list-style output via document attribute,ARC-024: ARC-024 — traceability:links[] and traceability:incoming[] link rendering
REQ-103,REQ-103 — Graph isolation per component version,ARC-016: ARC-016 — Event-driven Antora integration
